organization_id,course_id,session_id,title,description,video_url,file_url,voice_id,audio_url,audio_script,media_url,media_prompt,media_gen_id,stability,key_concepts,related_competencies,resource_links,related_material_ids,due_date,weight,type,status,max_score,instructions_file_url,content_data,submission_type,id,created_date,updated_date,created_by_id,is_sample
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c486a34d44d7c127c1e","מטלה 1 - זיהוי יישומי PLC בתעשייה","<p>צפו בסרטוני תהליכי ייצור אוטומטיים (קישורים מצורפים) וזהו 3 מקומות שבהם לדעתכם נמצא PLC. הסבירו מדוע PLC מתאים למשימה הספציפית ומה היה קורה אם היו משתמשים במחשב רגיל. הגישו דוח בן 2-3 עמודים עם צילומי מסך מתוך הסרטונים.</p>","https://youtube.com/shorts/Hy2PCMcrX2s?si=pdvMg181y6HdtLgi","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/587c95d5b_audio_695288d3dde821bdf86b0d58.mp3","[excited] הנה המטלה הראשונה שלכם! [pauses] אני רוצה שתצאו החוצה... [thoughtful] לא באמת החוצה... אלא דרך מסכים... ותראו איך PLC באמת עובד בפועל.... [pauses] [confident] צפו בסרטונים... חפשו את הבקרים... תחשבו כמו מהנדסים.... [pauses] [warm] זכרו... המטרה היא לא רק לזהות... אלא להבין למה PLC הוא הפתרון הנכון דווקא כאן... [excited] בהצלחה!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/378640eff_media_695288d3dde821bdf86b0d58.png","A male teacher in his mid-30s with short dark hair wearing a light blue button-up shirt, standing in a modern industrial training lab, pointing at a large screen displaying automated factory conveyor belts and PLC control panels, holographic arrows and labels highlighting PLC units in the factory scene, professional educational environment with blue and orange lighting, Israeli features, confident teaching posture, ultra-realistic 4k quality, shallow depth of field, industrial-tech aesthetic","","0.5","[{""term"":""PLC"",""definition"":""""},{""term"":""אוטומציה תעשייתית"",""definition"":""""},{""term"":""Real-Time Control"",""definition"":""""},{""term"":""Industrial I/O"",""definition"":""""}]","[]","[""https://www.plcacademy.com/plc-basics"",""https://www.automation.siemens.com/il/he/"",""https://en.wikipedia.org/wiki/Programmable_logic_controller""]","[""69528aba2de4d80f9ba3bedc""]","2025-03-10","10","assignment","open","100","","{}","online","695288d3dde821bdf86b0d58","2025-12-29T13:57:39.602000","2025-12-30T14:12:33.860000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","","מטלה 2 - תכנון מערכת I/O לקו ייצור","תכננו מערכת קלטים ופלטים למערכת אוטומטית של מיון חבילות לפי משקל. המערכת כוללת: 3 חיישני משקל (אנלוגי) 2 חיישני מיקום (דיגיטלי) 4 מנועי מסוע (דיגיטלי) 2 נורות אזהרה (דיגיטלי). צרו טבלת I/O מפורטת תרשים חיווט בסיסי ונמקו את בחירת סוג הקלט/פלט לכל רכיב. צרפו קישור ל-datasheet של מודול I/O מתאים מקטלוג Siemens.","https://youtube.com/watch?v=example-plc-io-wiring","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/82d90796a_audio_695288d3dde821bdf86b0d59.mp3","[thoughtful] המטלה השנייה היא יותר מורכבת... אבל אל תדאגו... [pauses] [confident] אתם כבר יודעים מספיק כדי להתמודד איתה.... [pauses] [excited] תכננו מערכת אמיתית... תחשבו על כל חיישן... כל מנוע... [thoughtful] דיגיטלי או אנלוגי?... למה?... איך מחברים?.... [pauses] [warm] קחו את הזמן... עבדו בצוותים אם אתם רוצים... השתמשו בקטלוגים של Siemens... [pauses] [inspirational] ברגע שתסיימו את המטלה הזאת... אתם כבר לא רק סטודנטים... אתם כמעט מהנדסי אוטומציה... [excited] בהצלחה!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/e991c0a7b_media_695288d3dde821bdf86b0d59.png","A male teacher in his mid-30s with short dark hair wearing a light blue button-up shirt, sitting at a modern engineering workstation with dual monitors, one screen showing a detailed I/O wiring diagram with colorful connection lines, the other displaying a Siemens S7-1200 PLC with labeled input/output modules, electronic components and cables on the desk, technical blueprints in background, professional engineering office with blue LED accent lighting, Israeli features, focused and professional expression, photorealistic 4k quality, top-down 45-degree angle, technical documentation aesthetic","","0.5","[{""term"":""Digital I/O"",""definition"":""""},{""term"":""Analog I/O"",""definition"":""""},{""term"":""CPU Module"",""definition"":""""},{""term"":""חיווט חשמלי"",""definition"":""""},{""term"":""Data Sheet"",""definition"":""""}]","[]","[""https://support.industry.siemens.com/cs/document/109742691"",""https://www.plcacademy.com/io-modules"",""https://www.engineering.com/plc-io-fundamentals""]","[""69528aba2de4d80f9ba3bedf"",""69528aba2de4d80f9ba3bee0"",""69528aba2de4d80f9ba3bee1"",""69528aba2de4d80f9ba3bee3"",""69528aba2de4d80f9ba3bee2""]","2025-03-17","15","assignment","open","100","","{}","online","695288d3dde821bdf86b0d59","2025-12-29T13:57:39.602000","2025-12-30T10:56:54.178000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4c311008e482e145b1","פרויקט 2: הצגה מקצועית והדגמה","הצגה מקצועית של הפרויקט הסופי מול הכיתה והמרצים. כולל הדגמה חיה, מצגת ומענה לשאלות.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/3b7778ee2_audio_69525c4df48ab3d8465ccea9.mp3","[excited] זה הרגע שלכם להאיר על הבמה! [pauses] כל העבודה הקשה, כל הלמידה... מגיעה לכאן. [thoughtful] זו לא סתם הצגה... זו הוכחה חיה שאתם מוכנים לתעשייה. [excited] תדברו בביטחון, תהנו מהרגע הזה... כי אתם באמת ראויים לזה! 🎤✨","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/d530c9885_media_69525c4df48ab3d8465ccea9.png","Professional business presentation in modern conference room, presenter confident, large screen showing industrial control system, engaged audience, cinematic lighting, photorealistic 4k","","0.5","[{""term"":""Technical Presentation"",""definition"":""הצגה מקצועית של תוכן טכני""},{""term"":""Live Demo"",""definition"":""הדגמה חיה של מערכת פועלת""},{""term"":""Q&A"",""definition"":""שאלות ותשובות - אינטראקציה עם הקהל""}]","[]","[]","[""6952641336c5c2e498d3d68a"",""6952641336c5c2e498d3d689"",""6952641336c5c2e498d3d688"",""6952641336c5c2e498d3d687""]","2025-05-26","10","project","open","100","","","presentation","69525c4df48ab3d8465ccea9","2025-12-29T10:47:41.940000","2025-12-29T15:46:20.015000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4ca1da2535be3c1e4f","פרויקט 1: מערכת בקרה מלאה","תכנון, בנייה והפעלה של מערכת בקרה מלאה לתהליך תעשייתי. עבודה בקבוצות של 3-4 סטודנטים.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/49375a974_audio_69525c4db0d81637cab0ef63.mp3","[excited] זה הפרויקט הגדול שלכם! [pauses] כל מה שלמדתם עד עכשיו... מתחבר לכאן. [thoughtful] זו ההזדמנות להוכיח שאתם יכולים לתכנן, לבנות ולהפעיל מערכת אמיתית. [pauses] עבדו בצוות, תכננו טוב, ותהנו מהדרך. [excited] בסוף - יהיה לכם משהו להתגאות בו!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/27575f42b_media_69525c4db0d81637cab0ef63.png","Engineering team presenting complex industrial automation project with large display showing system architecture, control diagrams, and live HMI simulation, professional conference room, cinematic lighting, photorealistic 4k","","0.5","[{""term"":""System Design"",""definition"":""תכנון שיטתי של מערכת בקרה מלאה""},{""term"":""Modular Programming"",""definition"":""כתיבת קוד במודולים נפרדים וניתנים לשימוש חוזר""},{""term"":""Integration Testing"",""definition"":""בדיקת פעולה משולבת של כל רכיבי המערכת""},{""term"":""Technical Documentation"",""definition"":""תיעוד טכני מקצועי של מערכת""},{""term"":""Project Management"",""definition"":""ניהול פרויקט - תכנון, ביצוע, בקרה""}]","[]","[""https://www.plcacademy.com/plc-project-guide"",""https://www.isa.org/standards-and-publications""]","[""6952641336c5c2e498d3d683"",""6952641336c5c2e498d3d684"",""6952641336c5c2e498d3d686"",""6952641336c5c2e498d3d685""]","2025-05-19","20","project","open","100","","","online","69525c4db0d81637cab0ef63","2025-12-29T10:47:41.762000","2025-12-29T15:48:34.718000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4cfcc4ee36ed0cc23a","תרגיל 6: בקרת PID","יישום בקר PID לבקרת טמפרטורה. כיול והפעלה.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/277bf3371_audio_69525c4d8f7e35e7e2e8824f.mp3","[thoughtful] PID זו אומנות! [pauses] לא מספיק להפעיל... צריך לכוון, לבדוק, לשפר. זו המיומנות שמבדילה מתכנת ממהנדס!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/3ff82c0c8_media_69525c4d8f7e35e7e2e8824f.png","PID control system graph showing setpoint and process variable converging, temperature oven in background, industrial automation, 4k","","0.5","[{""term"":""PID Controller"",""definition"":""בקר המשלב 3 רכיבים: P, I, D""},{""term"":""Tuning"",""definition"":""תהליך מציאת פרמטרים אופטימליים""},{""term"":""Overshoot"",""definition"":""חריגה מעבר לנקודת היעד""}]","[]","[""https://www.plcacademy.com/pid-tutorial""]","[""6952641336c5c2e498d3d67f"",""6952641336c5c2e498d3d680"",""6952641336c5c2e498d3d681"",""6952641336c5c2e498d3d682""]","2025-05-12","15","assignment","open","100","","","online","69525c4d8f7e35e7e2e8824f","2025-12-29T10:47:41.634000","2025-12-29T15:48:37.450000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4c564772ca5737fe60","תרגיל 5: עיצוב HMI","בניית ממשק HMI מלא למערכת בקרה. כולל מסכי תפעול, אזעקות וטרנדים.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/d943fed49_audio_69525c4d145bd21f4e5f84cf.mp3","[thoughtful] זה הפנים של המערכת שלכם! [pauses] HMI טוב הוא לא רק יפה... הוא צריך להיות ברור, בטוח ונוח. תעצבו בחכמה!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/092cfbe7d_media_69525c4d145bd21f4e5f84cf.png","Professional industrial HMI touchscreen displaying process control interface with gauges, buttons, and trend charts, modern UI design, 4k","","0.5","[{""term"":""HMI Screen"",""definition"":""מסך ממשק אדם-מכונה""},{""term"":""Tag Connection"",""definition"":""קישור משתנה HMI ל-PLC""},{""term"":""Trend Chart"",""definition"":""גרף המציג ערכים לאורך זמן""}]","[]","[""https://www.plcacademy.com/hmi-tutorial""]","[""6952641336c5c2e498d3d67b"",""6952641336c5c2e498d3d67c"",""6952641336c5c2e498d3d67d"",""6952641336c5c2e498d3d67e""]","2025-04-28","15","assignment","open","100","","","online","69525c4d145bd21f4e5f84cf","2025-12-29T10:47:41.509000","2025-12-29T15:48:41.359000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4b0e87047863016c87","תרגיל 4: תקשורת Modbus","הגדרת תקשורת Modbus בין שני PLC-ים מדומים. קריאה וכתיבה של נתונים.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/9e9d4e508_audio_69525c4d91cf2d691132597e.mp3","[excited] עכשיו המערכות שלכם מתחילות לדבר! [pauses] Modbus הוא השפה המשותפת של התעשייה... תפעילו אותו נכון והכל מתחבר!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/0b326d1b0_media_69525c4d91cf2d691132597e.png","Two PLCs connected via Ethernet cable with data flowing between them, network visualization, industrial communication, 4k","","0.5","[{""term"":""Modbus Master"",""definition"":""מכשיר השולט בתקשורת ומבקש נתונים""},{""term"":""Modbus Slave"",""definition"":""מכשיר המגיב לבקשות Master""},{""term"":""Holding Register"",""definition"":""אזור זיכרון לקריאה וכתיבה""}]","[]","[""https://www.modbustools.com/modbus.html"",""https://www.plcacademy.com/modbus-tutorial""]","[""6952641336c5c2e498d3d676"",""6952641336c5c2e498d3d677"",""6952641336c5c2e498d3d678"",""6952641336c5c2e498d3d679"",""6952641336c5c2e498d3d67a""]","2025-04-21","12","assignment","open","100","","","online","69525c4d91cf2d691132597e","2025-12-29T10:47:41.387000","2025-12-29T15:48:44.441000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4befb4dd9bccb4c644","תרגיל 3: Structured Text - חישובים","תרגיל המתמקד בכתיבת קוד ב-ST לחישובים מתמטיים ולוגיקה מורכבת.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/77d9fcf7a_audio_69525c4db8a469118afa5a92.mp3","[excited] עכשיו אתם כותבים קוד אמיתי! [pauses] ST נותן לכם כוח עוצמתי לחישובים מסובכים... תהנו מהחופש!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/3111f0937_media_69525c4db8a469118afa5a92.png","Code editor showing structured text with syntax highlighting, clean modern IDE, professional programming environment, 4k","","0.5","[{""term"":""IF-THEN-ELSE"",""definition"":""מבנה תנאי בST""},{""term"":""REAL Data Type"",""definition"":""מספר עשרוני (floating point)""},{""term"":""Type Conversion"",""definition"":""המרת טיפוסי נתונים (INT → REAL)""}]","[]","[""https://www.plcacademy.com/structured-text-tutorial""]","[""6952641336c5c2e498d3d672"",""6952641336c5c2e498d3d673"",""6952641336c5c2e498d3d674"",""6952641336c5c2e498d3d675""]","2025-12-30","10","assignment","open","100","","","online","69525c4db8a469118afa5a92","2025-12-29T10:47:41.259000","2025-12-30T11:36:26.973000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c4909b5c39ec6f314c3","תרגיל 2: Timers ו-Counters","תרגיל המתמקד בשימוש בטיימרים ומונים. תבנו מערכות מתוזמנות ורצפים הכוללים ספירה.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/15efdef21_audio_69525c4dbc89881565fb346a.mp3","[thoughtful] עכשיו אתם משחקים עם הזמן! [pauses] טיימרים ומונים הם הכלים שהופכים PLC ממכונה פשוטה... למערכת חכמה שיודעת לחכות, לספור ולתזמן!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/6c966e972_media_69525c4dbc89881565fb346a.png","Traffic light system controlled by PLC with glowing red, yellow, green LEDs, control cabinet in background, industrial setting, photorealistic 4k","","0.5","[{""term"":""TON (Timer On-Delay)"",""definition"":""טיימר שמפעיל פלט אחרי זמן מוגדר""},{""term"":""CTU (Count Up)"",""definition"":""מונה עולה - סופר אירועים עד לערך מוגדר""},{""term"":""Preset Value (PT)"",""definition"":""ערך יעד של טיימר או מונה""},{""term"":""Done Bit (Q)"",""definition"":""ביט המצביע שהטיימר/מונה הגיע ליעד""}]","[]","[""https://www.plcacademy.com/plc-timers-tutorial"",""https://www.plcacademy.com/plc-counters-tutorial"",""https://www.youtube.com/watch?v=iD1IZtpXBLY""]","[""6952641336c5c2e498d3d66e"",""6952641336c5c2e498d3d66f"",""6952641336c5c2e498d3d670"",""6952641336c5c2e498d3d671""]","2025-03-31","10","assignment","open","100","","","online","69525c4dbc89881565fb346a","2025-12-29T10:47:41.137000","2025-12-29T15:48:49.775000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","69525c49b82203318a828a48","תרגיל 1: לוגיקה בסיסית ב-Ladder","תרגיל ראשון בתכנות Ladder Logic. תכתבו תוכנות פשוטות המיישמות לוגיקה בסיסית: AND, OR, NOT, Latching. התרגיל כולל 5 תרחישים שונים שאתם צריכים לפתור.","","","","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/2f4f762a8_audio_69525c4d9ad6336d8e4a24a6.mp3","[excited] התרגיל הראשון שלכם! [pauses] זה הזמן לקחת את מה שלמדנו... ולהפוך אותו לקוד אמיתי. [thoughtful] אל תפחדו לטעות... ככה לומדים! [pauses] קחו את הזמן, בדקו כל מצב, ותהנו מהתהליך!","https://base44.app/api/apps/693824c5c1ad33c1f114ebd2/files/public/693824c5c1ad33c1f114ebd2/a0316cbfa_media_69525c4d9ad6336d8e4a24a6.png","Student working on laptop showing ladder logic program with colorful rungs, PLC simulation running on screen, focused learning environment, warm lighting, photorealistic 4k, educational atmosphere","","0.5","[{""term"":""AND Logic"",""definition"":""פעולה לוגית שמחזירה TRUE רק כשכל הכניסות הן TRUE""},{""term"":""OR Logic"",""definition"":""פעולה לוגית שמחזירה TRUE כאשר לפחות כניסה אחת היא TRUE""},{""term"":""NOT Logic"",""definition"":""היפוך לוגי - הופך TRUE ל-FALSE ולהיפך""},{""term"":""Latching (Self-Hold)"",""definition"":""מעגל שנשאר פעיל גם אחרי שהאות ההפעלה נעלם""},{""term"":""Normally Open Contact"",""definition"":""מגע פתוח - מעביר זרם כאשר הכניסה פעילה""},{""term"":""Coil Output"",""definition"":""פלט - מופעל כאשר הלוגיקה בשורה היא TRUE""}]","[]","[""https://www.plcacademy.com/ladder-logic-tutorial"",""https://www.youtube.com/watch?v=DdKXM0yUvBo"",""https://support.industry.siemens.com/cs/document/109772803""]","[""6952641336c5c2e498d3d66b"",""6952641336c5c2e498d3d66c"",""6952641336c5c2e498d3d66d""]","2025-03-24","8","assignment","open","100","","","online","69525c4d9ad6336d8e4a24a6","2025-12-29T10:47:41.017000","2025-12-29T15:48:52.113000","693824c5c1ad33c1f114ebd3","false"
