organization_id,assignment_id,material_id,is_reference,id,created_date,updated_date,created_by_id,is_sample
"69391901350762829f9a50b1","69414e2dca46bee8e4a7041b","69414e3252b19f72f0cf1487","true","695563a2dd82f91e7c5224c8","2025-12-31T17:55:46.002000","2025-12-31T17:55:46.002000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69414e2dca46bee8e4a7041b","69414e33fdf865493623b230","true","695563a2dd82f91e7c5224c7","2025-12-31T17:55:46","2025-12-31T17:55:46","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69414e2dca46bee8e4a7041b","69414e325692e95313f5a8c6","true","695563a14b0bddd15f549b41","2025-12-31T17:55:45.983000","2025-12-31T17:55:45.983000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69414e30eb899ca912353c2b","69414e3433e4f2dbcccc799f","true","695501c086f578fcb7ac695d","2025-12-31T10:58:08.489000","2025-12-31T10:58:08.489000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69414e30eb899ca912353c2b","69414e330f3ee2543c85f605","true","695501c005831a45f717424d","2025-12-31T10:58:08.488000","2025-12-31T10:58:08.488000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69414e30eb899ca912353c2b","69414e3447b03b0f905a5285","true","695501c07381a196b0ad7dad","2025-12-31T10:58:08.484000","2025-12-31T10:58:08.484000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6950acf08bb65cfa53831f8f","6950acf1a3249cdd726e4090","true","6950adeb8413b34e3394f0ea","2025-12-28T04:11:23.545000","2025-12-28T04:11:23.545000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6945d4ff2b4798da3e9eac5b","694654f1c00903d20321c5c5","true","6950670054071f2fdcd9636c","2025-12-27T23:08:48.071000","2025-12-27T23:08:48.071000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6945d4ff69554b98a362dc0a","694654f1c00903d20321c5c6","true","69504014eb3f79acf4ab9561","2025-12-27T20:22:44.874000","2025-12-27T20:22:44.874000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6945d4ff69554b98a362dc0a","6950322a3310a30b0cda1fc8","true","6950400f7cac801be6a2b9e6","2025-12-27T20:22:39.725000","2025-12-27T20:22:39.725000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6945d501afde486933316661","6950322a3310a30b0cda1fc8","true","695039f935edadcc9f4a736e","2025-12-27T19:56:41.225000","2025-12-27T19:56:41.225000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","694c5fa92c29fda04db223d6","694c5faaef0d1d622584e67a","true","694cd9cc897b6b5283e51cb5","2025-12-25T06:29:32.254000","2025-12-25T06:29:32.254000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","694c5fa92c29fda04db223d6","694c5fabb69e095f2c813d0e","true","694cd9c643ffef8ea491bd2d","2025-12-25T06:29:26.810000","2025-12-25T06:29:26.810000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6948df3450dc9dece1773a0c","6948df34f28088f04c1d4055","true","694ae3668cc673282630f2dc","2025-12-23T18:45:58.301000","2025-12-23T18:45:58.301000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6945d501536ff7b26a9bd085","6945d5042568de6169f51bc1","true","694acf02aa49d6255362d29c","2025-12-23T17:18:58.384000","2025-12-23T17:18:58.384000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6947d827b4585bbff8ee1c93","6947d566eaf990c70fa923c1","true","6947ece06bbbae38c9bdae38","2025-12-21T12:49:36.902000","2025-12-21T12:49:36.902000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","6942881bd028ed632231a679","6941c287bdcdbf11396add9f","true","6942881cbb97c14c165cfebb","2025-12-17T10:38:20.210000","2025-12-17T10:38:20.210000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","693c276f9c6960c132d3fb49","693c32738c79854faf068ed3","true","693c8a610db66b8116438363","2025-12-12T21:34:25.826000","2025-12-12T21:34:25.826000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","693c893533d039a44d1344bd","693c32738c79854faf068ed3","true","693c89c6da021e882bdec069","2025-12-12T21:31:50.293000","2025-12-12T21:31:50.293000","693824c5c1ad33c1f114ebd3","false"
