organization_id,course_id,session_number,title,description,objectives,duration_hours,date,start_time,end_time,status,location,video_conference_link,zoom_meeting_id,recording_url,presentation_url,voice_id,audio_url,audio_script,media_url,media_prompt,media_gen_id,stability,teacher_notes,materials_link,id,created_date,updated_date,created_by_id,is_sample
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","12","פרויקט גמר והצגה מקצועית","הצגת פרויקטי הגמר על ידי הקבוצות. משוב מקצועי, דיון ותעודות סיום.","1. הצגה מקצועית
2. הדגמה טכנית
3. תיעוד פרויקט
4. קבלת משוב
5. סיכום הקורס","4","2025-05-19","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[excited] זה הרגע שלכם להאיר! [pauses] אתם עבדתם קשה... למדתם המון... [thoughtful] ועכשיו הגיע הזמן להראות מה אתם יודעים. [excited] זו לא סתם הצגה... זו הוכחה שאתם יודעים לעבוד עם PLC באמת! [pauses] תהנו מהרגע... אתם ראויים לזה!","","Students presenting industrial automation project on large display screen in modern conference room, professional business atmosphere with projector showing PLC ladder logic and HMI interface, confident presenters, clean minimalist setting, cinematic lighting, photorealistic 4k","","0.5","עודד ביטחון והצגת ערך. דרוש הדגמה עובדת (סימולציה). תן משוב בונה. חגוג הצלחות. דבר על המשך קריירה.","","69525c4c311008e482e145b1","2025-12-29T10:47:40.895000","2025-12-29T12:48:00.349000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","11","תכנון מערכת מלאה – אינטגרציה","שילוב כל הידע לתכנון מערכת בקרה מלאה. עבודה בצוותים על תרחיש תעשייתי.","1. תכנון מערכת כוללת
2. בחירת חומרה
3. כתיבת מפרט טכני
4. הכנה לפרויקט סיום
5. עבודת צוות","4","2025-05-12","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[excited] זה הרגע שבו מחברים את כל הנקודות! [pauses] עכשיו אתם לא סתם מתכנתים... אתם מתכננים מערכות. [thoughtful] תחשבו כמו מהנדסים, תתכננו כמו אדריכלים, ותפעלו כמו אנשי שטח. [pauses] בואו נראה איך לוקחים רעיון... והופכים אותו למציאות תעשייתית!","","Engineering team collaborating around whiteboard filled with industrial automation system diagrams, flow charts, I/O lists, and technical sketches, modern tech office environment with glass walls, natural lighting, professional atmosphere, photorealistic 4k, shallow depth of field focusing on whiteboard","","0.5","עבודה בקבוצות של 3-4. תן תרחיש אמיתי (למשל: מערכת מיון חבילות). דרוש תיעוד מסודר. הדגש תקשורת ושיתוף פעולה.","","69525c4ca1da2535be3c1e4f","2025-12-29T10:47:40.751000","2025-12-29T12:48:00.215000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","10","בקרת תהליך ו-PID","עקרונות בקרה רציפה. הבנת בקר PID (Proportional-Integral-Derivative) ויישומו המעשי.","1. להבין עקרונות PID
2. כיול בקר PID
3. יישום בקרת טמפרטורה
4. Tuning בסיסי
5. טיפול בהפרעות","4","2025-05-05","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[thoughtful] כאן אנחנו לא רק מפעילים מערכות... אנחנו מאזנים אותן. [pauses] PID זו אומנות של דיוק... [excited] זו הדרך לשמור על טמפרטורה מדויקת, לחץ יציב, מהירות קבועה. [pauses] זה מה שהופך מערכת גסה למערכת מקצועית!","","PID control system diagram showing setpoint, error, and output curves over time graph, clean data visualization with smooth blue and red lines, industrial process background slightly out of focus, professional technical illustration style, cinematic 4k, modern dashboard aesthetics","","0.5","אל תעמיק מתמטית מדי - שמור על גישה מעשית. השתמש בסימולציה חזותית. הראה איך כל פרמטר משפיע. דוגמה: בקרת טמפרטורה של תנור.","","69525c4cfcc4ee36ed0cc23a","2025-12-29T10:47:40.645000","2025-12-29T12:48:00.061000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","9","איתור תקלות ו-Debug מתקדם","שיטות מקצועיות לאיתור ופתרון בעיות. קריאת קודי שגיאה, שימוש בכלי Debug, ניתוח סימפטומים.","1. שיטות Debug מתקדמות
2. קריאת diagnostic buffers
3. שימוש ב-force tables
4. ניתוח תקלות בשטח
5. תיעוד ופתרון שיטתי","4","2025-04-28","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[excited] פה הופכים למקצוענים אמיתיים! [pauses] מי שיודע למצוא ולפתור תקלות... [thoughtful] תמיד יהיה מבוקש בשוק. [pauses] זו אומנות... זו מדע... וזו היכולת שהכי שווה כסף בתעשייה!","","Industrial engineer troubleshooting PLC system with laptop connected to control cabinet, multimeter in hand, focused expression, dramatic side lighting highlighting the scene, realistic factory maintenance environment, photorealistic 4k, professional atmosphere","","0.5","הצג תרחישי תקלות אמיתיים. תן תרגילים של ""מצא את הבאג"". הדגש גישה שיטתית - לא ניחושים. הראה שימוש ב-diagnostic LEDs.","","69525c4c415718a4c410485e","2025-12-29T10:47:40.389000","2025-12-29T12:47:59.930000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","8","HMI וממשקי מפעיל","בניית מסכי תפעול (Human-Machine Interface) וחיווי. עיצוב ממשק, חיבור ל-PLC, אזעקות וטרנדים.","1. עיצוב ממשק HMI
2. חיבור משתנים ל-PLC
3. בניית מסכי תהליך
4. מערכת אזעקות
5. Trending וגרפים","4","2025-04-21","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[thoughtful] זה הפנים של המערכת שלכם. [pauses] מפעיל רואה את המסך הזה 8 שעות ביום... [excited] HMI טוב יכול למנוע טעויות, לחסוך זמן, ואפילו להציל חיים. [pauses] היום נלמד לבנות ממשקים שבאמת עובדים!","","Industrial HMI touchscreen panel displaying real-time process data with animated gauges, temperature readings, flow diagrams, alarm status indicators, clean modern UI design with blue and orange color scheme, realistic factory control room setting with operator in background, photorealistic 4k","","0.5","התמקד בחוויית משתמש - בטיחות, בהירות, נגישות. הראה דוגמאות גרועות (מסכים מבולגנים) ומצוינות. תן תרגיל עיצוב מעשי.","","69525c4c564772ca5737fe60","2025-12-29T10:47:40.012000","2025-12-29T12:47:59.818000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","7","תקשורת תעשייתית ו-Protocols","Modbus RTU/TCP, Profinet, Profibus ותקשורת בין בקרים. נלמד לחבר מערכות שונות ולהעביר נתונים.","1. להבין פרוטוקולי תקשורת
2. הגדרת Modbus ו-Profinet
3. חיבור מערכות שונות
4. העברת נתונים בין PLC-ים
5. Troubleshooting תקשורת","4","2025-04-14","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[excited] ברגע שמערכות מדברות זו עם זו... קורה הקסם האמיתי! [pauses] היום נגרום לבקרים לתקשר... כמו צוות מתואם שעובד ביחד. [thoughtful] זו הרשת העצבית של המפעל... [pauses] וכשהיא עובדת טוב – הכל זורם!","","Industrial network topology diagram with multiple PLCs, HMI panels, sensors and actuators connected via Ethernet cables, glowing data transmission lines flowing between devices, dark background with blue network visualization, isometric perspective, cinematic 4k, futuristic engineering schematic","","0.5","שלב תרשים רשת אמיתי. הראה Wireshark או כלי ניטור תקשורת. תן דוגמה של חיבור PLC ל-VFD (מהפך תדרים). הדגש תקלות נפוצות.","","69525c4b0e87047863016c87","2025-12-29T10:47:39.604000","2025-12-29T12:47:59.702000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","6","Structured Text ו-FBD","היכרות עם שפות תכנות נוספות: ST (Structured Text) ו-FBD (Function Block Diagram). נבין מתי משתמשים בכל שפה ואיך לשלב ביניהן.","1. להבין Structured Text
2. לעבוד עם FBD
3. להשוות בין שפות
4. לדעת מתי להשתמש בכל שפה
5. המרה בין שפות","4","2025-04-07","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[thoughtful] לא כל בעיה נפתרת ב-Ladder בלבד. [pauses] לפעמים צריך חישובים מסובכים... לפעמים זרימת נתונים מורכבת. [excited] היום תכירו כלים מתקדמים שפותחים לכם חשיבה לגמרי אחרת... [pauses] ומרחיבים את האפשרויות שלכם פי כמה!","","Split screen visualization showing structured text code on left with syntax highlighting and function block diagram on right with connected logic blocks, modern IDE interface, dark theme with blue and green accents, futuristic industrial theme with floating interface elements, cinematic lighting, 4k","","0.5","הדגש מתי כדאי להשתמש בכל שפה - ST לחישובים, FBD לזרימת נתונים, Ladder לרצפים. הראה את אותו קוד בכמה שפות. תן דוגמאות מהתעשייה.","","69525c4befb4dd9bccb4c644","2025-12-29T10:47:39.020000","2025-12-29T12:47:59.509000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","5","סביבת עבודה – TIA Portal ו-Simulation","עבודה עם סביבת הפיתוח TIA Portal של Siemens. התקנה, הגדרות, יצירת פרויקט, סימולציה עם PLCSIM, והעלאה לבקר.","1. היכרות מלאה עם TIA Portal
2. יצירה וניהול פרויקט
3. סימולציה מקצועית
4. Debugging מתקדם
5. תיעוד וגיבוי","4","2025-03-31","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[excited] עכשיו אנחנו עובדים כמו בתעשייה! [pauses] זו בדיוק אותה סביבה שבה משתמשים מהנדסים במפעלים אמיתיים. [thoughtful] TIA Portal זה לא סתם תוכנה... זה כל עולם של אוטומציה. [pauses] קחו נשימה עמוקה... והתכוננו להכיר את הכלי המקצועי שלכם!","","Modern engineering workstation with dual widescreen monitors displaying Siemens TIA Portal interface, ladder logic code on one screen and simulation on another, professional studio lighting, realistic keyboard and mouse, industrial office environment, photorealistic 4k, clean desk setup","","0.5","וודא שכל הסטודנטים מתקינים TIA Portal (גרסת Trial זמינה). עבור צעד-אחר-צעד דרך יצירת פרויקט ראשון. הדגם online monitoring ו-force tables. התייחס לגרסאות שונות.","","69525c4aa1d1717e6b8ef6ab","2025-12-29T10:47:38.477000","2025-12-29T12:47:59.354000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","4","Timers, Counters ופקודות בסיס","עבודה עם טיימרים (TON, TOF, TP), מונים (CTU, CTD), ולוגיקה מתקדמת. נלמד לבנות רצפים ותהליכים מתוזמנים.","1. שימוש בטיימרים מסוגים שונים
2. עבודה עם מונים
3. בניית רצפים פשוטים
4. שילוב לוגיקה מורכבת
5. Debugging בסיסי","4","2025-03-24","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[thoughtful] כאן אנחנו נותנים לזמן... משמעות. [pauses] טיימרים ומונים הם המוח של התהליך התעשייתי. [excited] רוצים שמערכת תעבוד רק 30 שניות? שתספור 100 מוצרים ותעצור? [pauses] נשתמש בהם נכון – והמערכת תעבוד כמו שעון שוויצרי!","","Digital timer and counter function blocks integrated into ladder logic program, glowing numerical displays showing elapsed time and counts, industrial control system UI elements with blue and orange accent colors, dark background, photorealistic 4k, clean technical visualization","","0.5","הראה תקלות נפוצות (למשל reset condition חסר). תן דוגמאות מהחיים - פס ייצור שצריך להפסיק אחרי X מוצרים, נורת מדרגה מתוזמנת. העבר תרגילים מהירים.","","69525c4909b5c39ec6f314c3","2025-12-29T10:47:37.935000","2025-12-29T12:47:58.933000","693824c5c1ad33c1f114ebd3","false"
"69391901350762829f9a50b1","69525c47b39f04b627f82cd3","3","יסודות לוגיקה ותכנות Ladder","מבוא ללוגיקת סולם (Ladder Logic) – השפה הנפוצה ביותר ב-PLC. נלמד סמלים בסיסיים, כתיבת לוגיקה פשוטה, ונתרגל עם סימולטור.","1. להבין Ladder Logic ולקרוא תרשימים
2. לכתוב לוגיקה בסיסית (AND, OR, NOT)
3. להשתמש בסימולטור
4. לפתור בעיות לוגיות פשוטות
5. להבין Scan Cycle","4","2025-03-17","18:00","21:00","planned","למידה מרחוק + מעבדות וירטואליות","","","","","","","[excited] זה הרגע שבו מתחילים לתכנת באמת! [pauses] Ladder Logic נראה פשוט... אבל הוא חכם, עוצמתי ותעשייתי. [thoughtful] למעשה, זו אותה לוגיקה שמפעילה מפעלים שלמים. [pauses] בואו נצלול לתוך הקוד... ונראה איך רעיון הופך לפעולה!","","Holographic ladder logic diagram floating in mid-air over dark industrial background, glowing blue rungs with contact symbols and coil outputs, clean geometric lines, cinematic tech style with particle effects, 4k, futuristic engineering visualization","","0.5","תרגול חי עם סימולטור (Factory I/O או Siemens PLCSIM). התחל מדוגמאות פשוטות מאוד ובנה בהדרגה. הדגש את הקשר בין לוגיקה חשמלית ללוגיקת סולם. תן תרגילים מיידיים.","","69525c49b82203318a828a48","2025-12-29T10:47:37.486000","2025-12-29T12:47:58.812000","693824c5c1ad33c1f114ebd3","false"
